"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 28 12:01:35 GMT 2024","Wed Aug 28 12:01:40 GMT 2024","5622","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","testValidarFluxoCarrinhoComSucesso","testValidarFluxoCarrinhoComSucesso()","CE-01 Validar adição de item ao carrinho e conclusão do checkout com sucesso"
"passed","Wed Aug 28 11:57:59 GMT 2024","Wed Aug 28 11:58:09 GMT 2024","9863","","br.com.dbccompany.test.ForgotPasswordTest","","br.com.dbccompany.test.ForgotPasswordTest","test1ValidarEnvioSenhaNovaComEmailValido","test1ValidarEnvioSenhaNovaComEmailValido()","CT-001 Validar ForgotPassword com email valido"
"passed","Wed Aug 28 11:59:34 GMT 2024","Wed Aug 28 11:59:51 GMT 2024","16138","","br.com.dbccompany.test.ContactUsTest","","br.com.dbccompany.test.ContactUsTest","test1validarContactUsDadosValidos","test1validarContactUsDadosValidos()","CT-001 Validar ContactUs com dados valido"
"broken","Wed Aug 28 12:00:54 GMT 2024","Wed Aug 28 12:01:01 GMT 2024","6782","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","validarCheckoutComVariaçãoDeTamanhoECor","validarCheckoutComVariaçãoDeTamanhoECor()","CE-03 Validar processo de checkout com seleção de tamanho e cor"
"passed","Wed Aug 28 12:00:50 GMT 2024","Wed Aug 28 12:00:54 GMT 2024","4010","","br.com.dbccompany.test.SectionsNavigationTest","","br.com.dbccompany.test.SectionsNavigationTest","test3validarNavegacaoTShirtSection","test3validarNavegacaoTShirtSection()","CT-003 Validar navegação para seção 'T-shirt'"
"passed","Wed Aug 28 11:56:57 GMT 2024","Wed Aug 28 11:57:02 GMT 2024","4222","","br.com.dbccompany.test.LoginTest","","br.com.dbccompany.test.LoginTest","test1validarLoginDadosValidos","test1validarLoginDadosValidos()","CT-001 Validar Login com dados validos"
"passed","Wed Aug 28 11:58:55 GMT 2024","Wed Aug 28 11:58:58 GMT 2024","3085","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkTwitter","validarLinkTwitter()","FE-02 Validar acesso ao perfil do Twitter através do ícone de redes sociais"
"passed","Wed Aug 28 11:58:51 GMT 2024","Wed Aug 28 11:58:55 GMT 2024","3488","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkAboutUs","validarLinkAboutUs()","FE-07 Validar navegação para a página sobre nós"
"passed","Wed Aug 28 11:59:02 GMT 2024","Wed Aug 28 11:59:05 GMT 2024","3241","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkRSS","validarLinkRSS()","FE-03 Validar acesso ao feed RSS através do ícone de redes sociais"
"passed","Wed Aug 28 11:57:54 GMT 2024","Wed Aug 28 11:57:59 GMT 2024","4709","","br.com.dbccompany.test.ForgotPasswordTest","","br.com.dbccompany.test.ForgotPasswordTest","test2ValidarTentativaDeEnvioSenhaNovaComEmailInvalido","test2ValidarTentativaDeEnvioSenhaNovaComEmailInvalido()","CT-002 Validar ForgotPassword com email invalido"
"passed","Wed Aug 28 12:00:43 GMT 2024","Wed Aug 28 12:00:47 GMT 2024","3548","","br.com.dbccompany.test.SectionsNavigationTest","","br.com.dbccompany.test.SectionsNavigationTest","test4validarNavegacaoBlogSection","test4validarNavegacaoBlogSection()","CT-004 Validar navegação para seção 'Blog'"
"passed","Wed Aug 28 11:57:12 GMT 2024","Wed Aug 28 11:57:16 GMT 2024","3749","","br.com.dbccompany.test.SearchTest","","br.com.dbccompany.test.SearchTest","test1validarBuscaProdutoExistente","test1validarBuscaProdutoExistente()","CT-001 Validar busca de produto existente"
"passed","Wed Aug 28 11:59:55 GMT 2024","Wed Aug 28 12:00:10 GMT 2024","15478","","br.com.dbccompany.test.ContactUsTest","","br.com.dbccompany.test.ContactUsTest","test4validarContactUsComOrderReferenceVazio","test4validarContactUsComOrderReferenceVazio()","CT-004 Validar ContactUs com order reference vazio"
"passed","Wed Aug 28 11:59:05 GMT 2024","Wed Aug 28 11:59:08 GMT 2024","3134","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkFacebook","validarLinkFacebook()","FE-01 Validar acesso ao perfil do Facebook através do ícone de redes sociais"
"passed","Wed Aug 28 11:59:51 GMT 2024","Wed Aug 28 11:59:55 GMT 2024","4218","","br.com.dbccompany.test.ContactUsTest","","br.com.dbccompany.test.ContactUsTest","test2validarContactUsComEmailInvalidos","test2validarContactUsComEmailInvalidos()","CT-002 Validar ContactUs com email invalido"
"passed","Wed Aug 28 11:57:08 GMT 2024","Wed Aug 28 11:57:12 GMT 2024","4053","","br.com.dbccompany.test.SearchTest","","br.com.dbccompany.test.SearchTest","test2validarBuscaProdutoInexistente","test2validarBuscaProdutoInexistente()","CT-002 Validar busca de produto inexistente"
"passed","Wed Aug 28 11:59:13 GMT 2024","Wed Aug 28 11:59:17 GMT 2024","3549","","br.com.dbccompany.test.NewsletterTest","","br.com.dbccompany.test.NewsletterTest","test1ValidarEnvioNewsletterComEmailValido","test1ValidarEnvioNewsletterComEmailValido()","CT-001 Validar Newsletter com email valido"
"passed","Wed Aug 28 11:56:54 GMT 2024","Wed Aug 28 11:56:57 GMT 2024","3661","","br.com.dbccompany.test.LoginTest","","br.com.dbccompany.test.LoginTest","test2validarLoginComEmailInvalido","test2validarLoginComEmailInvalido()","CT-002 Validar Login com email inválido"
"passed","Wed Aug 28 11:58:13 GMT 2024","Wed Aug 28 11:58:18 GMT 2024","5114","","br.com.dbccompany.test.FooterTest","","br.com.dbccompany.test.FooterTest","validarLinkMyAddresses","validarLinkMyAddresses()","FE-10 Validar navegação para a página de meus endereços"
"passed","Wed Aug 28 12:00:37 GMT 2024","Wed Aug 28 12:00:40 GMT 2024","3162","","br.com.dbccompany.test.SectionsNavigationTest","","br.com.dbccompany.test.SectionsNavigationTest","test6validarNavegacaoBestSellersSection","test6validarNavegacaoBestSellersSection()","CT-006 Validar navegação para seção 'Best Sellers'"
"passed","Wed Aug 28 11:59:25 GMT 2024","Wed Aug 28 11:59:29 GMT 2024","3980","","br.com.dbccompany.test.NewsletterTest","","br.com.dbccompany.test.NewsletterTest","test2ValidarEnvioNewsletterComEmailInvalido","test2ValidarEnvioNewsletterComEmailInvalido()","CT-002 Validar Newsletter com email invalido"
"passed","Wed Aug 28 11:57:38 GMT 2024","Wed Aug 28 11:57:42 GMT 2024","3435","","br.com.dbccompany.test.RegisterTest","","br.com.dbccompany.test.RegisterTest","test4validarRegistroEmailExistente","test4validarRegistroEmailExistente()","CT-004 Validar Registro com email existente"
"passed","Wed Aug 28 11:57:16 GMT 2024","Wed Aug 28 11:57:38 GMT 2024","22199","","br.com.dbccompany.test.RegisterTest","","br.com.dbccompany.test.RegisterTest","test1validarRegistroDadosValidos","test1validarRegistroDadosValidos()","CT-001 Validar Registro com dados validos"
"broken","Wed Aug 28 12:01:12 GMT 2024","Wed Aug 28 12:01:19 GMT 2024","6438","","br.com.dbccompany.test.CartTest","","br.com.dbccompany.test.CartTest","validarCheckoutPagamentoCheck","validarCheckoutPagamentoCheck()","CE-02 Validar adição de item ao carrinho e conclusão do checkout com pagamento via Check"
"passed","Wed Aug 28 11:57:47 GMT 2024","Wed Aug 28 11:57:50 GMT 2024","3605","","br.com.dbccompany.test.RegisterTest","","br.com.dbccompany.test.RegisterTest","test2validarRegistroComEmailInvalido","test2validarRegistroComEmailInvalido()","CT-002 Validar Registro com email inválido"
"passed","Wed Aug 28 12:00:40 GMT 2024","Wed Aug 28 12:00:43 GMT 2024","3289","","br.com.dbccompany.test.SectionsNavigationTest","","br.com.dbccompany.test.SectionsNavigationTest","test5validarNavegacaoPopularSection","test5validarNavegacaoPopularSection()","CT-005 Validar navegação para seção 'Popular'"
